address,group,roi,total_spent,total_sold,leftover_value,trade_count,yes_shares_bought,yes_shares_sold,yes_spent,yes_sold,yes_leftover_value,no_shares_bought,no_shares_sold,no_spent,no_sold,no_leftover_value
0x43948c947f76e3d36a17ace0d45180e1fca21db4,A,-0.026737967914438502,7.48,7.28,0.0,2,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.48,7.28,0.0
0x43989eb74ace1d2fbad9a4585ce8c52400c533c0,B,0.5227509262148288,26.549996,40.42043,0.008601,4,40.878601,40.87,26.549996,40.42043,0.008601,0.0,0.0,0.0,0.0,0.0
0x43ed02b9fd2f86a520bc30a285fa17f81e4e604f,A,-0.21428571428571427,28.0,22.0,0.0,2,200.0,200.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
0x43ed7d1bf7c703136971ae5e64f6e7feea435535,A,-0.023514226387563838,178.19,174.0,0.0,3,0.0,0.0,0.0,0.0,0.0,200.0,200.0,178.19,174.0,0.0
0x444aeec0197ed90df4bf357b00273f5d6b690de0,A,-0.014752370916754479,70.226,69.19,0.0,2,0.0,0.0,0.0,0.0,0.0,74.0,74.0,70.226,69.19,0.0
0x45580feac3b916a88b7513929e26f86b3adea2b3,B,0.012439665048066468,379609.537938,230171.59405,154160.159389,248,385499.479389,231339.32,379609.537938,230171.59405,154160.159389,0.0,0.0,0.0,0.0,0.0
0x45746cf20077faef288188c9e0e31228f63fab3e,B,-1.0,14.43,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,39.0,0.0,14.43,0.0,0.0
0x459b23cf0b67b9bc1ab89394f3dc45c08df6a2cc,B,-0.045218908859385454,120.849997,115.3764,0.008892,4,179.678892,179.67,120.849997,115.3764,0.008892,0.0,0.0,0.0,0.0,0.0
0x461a591ce21697febe81213450b720504f294030,A,-0.0012981696751976641,2991.327,2987.44375,0.0,11,0.0,0.0,0.0,0.0,0.0,3273.0,3272.993668,2991.327,2987.44375,0.0
0x46c8535c15003d8c6c353c661d75567dcb9340db,A,0.0,1019.808,1019.808,0.0,22,0.0,0.0,0.0,0.0,0.0,1056.0,1056.0,1019.808,1019.808,0.0
0x47e027c41dbd85b534893edcce2eacc53aefd485,B,-1.0,122.985,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,7365.0,0.0,122.985,0.0,0.0
0x48263f647cc73b39c5e0c560af5a867e57bd6493,A,-0.002068252326783868,7.736,7.72,0.0,2,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.736,7.72,0.0
0x482ba2b19ba56086abebe8796031032dc97c85f9,B,-0.8805220153483241,70.399999,8.41125,0.0,3,0.0,0.0,0.0,0.0,0.0,1000.458714,550.45,70.399999,8.41125,0.0
0x484f73a9e91dc5b24ec9c32de8f1540b51fe19ec,B,0.002523977788995457,99.05,99.3,0.0,4,100.0,100.0,99.05,99.3,0.0,0.0,0.0,0.0,0.0,0.0
0x48d2bfd5c9d4e16a1f63efaeeb7c6665ba481c1c,B,-0.002019002019002019,2.999997,2.99364,0.0003,2,3.0303,3.03,2.999997,2.99364,0.0003,0.0,0.0,0.0,0.0,0.0
0x4930980e617870992d92a31c8ca0687ccfdc0463,A,0.0,590.58,590.58,0.0,14,0.0,0.0,0.0,0.0,0.0,612.0,612.0,590.58,590.58,0.0
0x49ce241ea7f07d3620e216ec1542d3f5f1e9b599,A,2.703703835185192,19.999999,0.0,74.074073,1,74.074073,0.0,19.999999,0.0,74.074073,0.0,0.0,0.0,0.0,0.0
0x49ddab776e728247a88c86283dd440b7d4bb83e9,B,-0.4466102807017544,285.0,157.71607,0.0,4,0.0,0.0,0.0,0.0,0.0,30387.51111,20000.0,285.0,157.71607,0.0
0x4a3cb3563ed7d8aca1879b7e0cb3bc71b91bdcca,B,-1.0,9.999999,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,14.947682,0.0,9.999999,0.0,0.0
0x4aa13462a40d3477a1c11748f52c11e2a4a574f9,B,-1.0,1.2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,600.0,0.0,1.2,0.0,0.0
0x4b41dc21ee46c347fea27a78625475f9ca318c29,B,1.0625,7.2,14.85,0.0,2,15.0,15.0,7.2,14.85,0.0,0.0,0.0,0.0,0.0,0.0
0x4bc72c7a4b29e8ff5377066001b5695a1491502e,B,-0.0008853645217281581,87.999912,82.834,5.088,4,88.088,83.0,87.999912,82.834,5.088,0.0,0.0,0.0,0.0,0.0
0x4cf1ad8f0ebba02871fc14bc7d0b52d2d7336185,A,0.0,1483.296,1483.296,0.0,32,0.0,0.0,0.0,0.0,0.0,1536.0,1536.0,1483.296,1483.296,0.0
0x4d6f057ee77d58a8487bafc9e128f69654569314,B,-0.001001001001001001,109.51038,109.40076,0.0,4,109.62,109.62,109.51038,109.40076,0.0,0.0,0.0,0.0,0.0,0.0
0x4dbe31117522f389e4ec87fb32c1af7b59012f18,A,-0.2391687113168261,0.279999,0.2097,0.003332,2,2.333332,2.33,0.279999,0.2097,0.003332,0.0,0.0,0.0,0.0,0.0
0x4e25605fd905e9972efc0f4d8814530c655cd7a7,B,-0.37693592317906666,20679.109227,228.7701,12655.64,28,12655.64,0.0,10407.31718,0.0,12655.64,47961.603166,35305.67,10271.792047,228.7701,0.0
0x4e8c229a85ed66c8748455c3a1696757415fef04,B,-0.06267817857009687,0.589998,0.55165,0.001368,2,0.851368,0.85,0.589998,0.55165,0.001368,0.0,0.0,0.0,0.0,0.0
0x4ef30bc412523365c3e6f4de7f3d7ed6e53f3d1b,A,-0.22851307617102531,2.999999,2.306,0.00846,2,11.53846,11.53,2.999999,2.306,0.00846,0.0,0.0,0.0,0.0,0.0
0x4f54ea3f1c76d7c02142362c7ea200ec995667f0,A,-1.0,1.299998,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.352756,0.0,1.299998,0.0,0.0
0x4fc210c14e050ab524dab4f3b3714107e1bcef33,B,-1.0,24.5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,24.5,0.0,0.0
0x4fea1f8f10940f33bcd61fddd79dfea88a65d383,A,-0.5721843849705595,31.183995,13.341,0.0,8,0.0,0.0,0.0,0.0,0.0,2211.4945,1205.49,31.183995,13.341,0.0
0x50a0a3c37f108891572ceccae154fecc46f0e37a,A,-0.0006038647342995169,11.592,11.585,0.0,4,0.0,0.0,0.0,0.0,0.0,12.0,12.0,11.592,11.585,0.0
0x520a7ab994ea2cbaa5e993f1bce6c179aa044d62,A,-0.0010351966873706005,6.762,6.755,0.0,2,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.762,6.755,0.0
0x528b48250edb92a37ce1c874917f08104209fbf6,A,0.1125,100.0,111.25,0.0,2,0.0,0.0,0.0,0.0,0.0,125.0,125.0,100.0,111.25,0.0
0x52c0d127b13b19690f7deac35c9acb6465430e1e,B,-1.0,20.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3333.333332,0.0,20.0,0.0,0.0
0x533c697dee31f751af0dbb5805002437e1236892,A,0.0,6.762,6.762,0.0,2,0.0,0.0,0.0,0.0,0.0,7.0,7.0,6.762,6.762,0.0
0x542aae10712e812bd71d792861ec5a570aa8a81b,A,0.7994527414563065,22590.774219,40646.132458,4.898142,130,56422.961099,56418.062957,19892.774396,36490.406178,4.898142,13983.869317,13978.97,2697.999823,4155.72628,0.0
0x552b09b8bff194624ab0d75b4bdea3675121604b,B,-1.0,0.999999,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.484303,0.0,0.999999,0.0,0.0
0x576b367f67d2a1d5761d5073594391116cf7728c,B,-0.001004016064257028,52.539,52.48625,0.0,2,52.75,52.75,52.539,52.48625,0.0,0.0,0.0,0.0,0.0,0.0
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,A,0.23286370995279573,307.7899,379.462998,0.0,5,0.0,0.0,0.0,0.0,0.0,421.63,421.625554,307.7899,379.462998,0.0
0x5811eff98d7f8c5c637708d34bdb12f9244d09c0,B,0.00101010101010101,1038.8466,1039.89594,0.0,24,1049.34,1049.34,1038.8466,1039.89594,0.0,0.0,0.0,0.0,0.0,0.0
0x58e6f64815712dd872dc4b19b5952cd86162ac74,A,6.1431571578578925,0.019999,0.0,0.142856,1,0.142856,0.0,0.019999,0.0,0.142856,0.0,0.0,0.0,0.0,0.0
0x59a6c64843cd3f7608a263d35b998f4bcc2184a9,B,-1.0,7.3999999999999995,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1278.095237,0.0,7.3999999999999995,0.0,0.0
0x59aab6f0db31ead4b76949ace79cd5cfb2e34aac,A,-0.002068252326783868,7.736,7.72,0.0,2,0.0,0.0,0.0,0.0,0.0,8.0,8.0,7.736,7.72,0.0
